,,left_side,right_side,similarity
10,52,"Four Seasons Hotel Seattle 99 Union St, Seattle, WA 98101_0","Hotel Max 620 Stewart St, Seattle, WA 98101_0",0.116112072
10,53,"Four Seasons Hotel Seattle 99 Union St, Seattle, WA 98101_0","Thompson Seattle 110 Stewart St, Seattle, WA 98101_0",0.110966176
10,54,"Four Seasons Hotel Seattle 99 Union St, Seattle, WA 98101_0","Palihotel Seattle 107 Pine St, Seattle, WA 98101_0",0.109236111
11,55,"W Seattle 1112 4th Ave, Seattle, WA 98101_0","W Seattle 1112 4th Ave, Seattle, WA 98101_0",1
11,56,"W Seattle 1112 4th Ave, Seattle, WA 98101_0","Hotel Andra 2000 4th Ave, Seattle, WA 98121_0",0.210724586
11,57,"W Seattle 1112 4th Ave, Seattle, WA 98101_0","Vermont Inn 2721 4th Ave, Seattle, WA 98121_0",0.209640844
11,58,"W Seattle 1112 4th Ave, Seattle, WA 98101_0","Stay Alfred on 4th Avenue 2201 4th Ave, Seattle, WA 98121_0",0.184859799
11,59,"W Seattle 1112 4th Ave, Seattle, WA 98101_0","Stay Alfred on Wall Street 2515 4th Ave, Seattle, WA 98121_0",0.161669275
12,60,"Crowne Plaza Seattle 1113 6th Ave, Seattle, Washington 98101_0","Crowne Plaza Seattle 1113 6th Ave, Seattle, Washington 98101_0",1
12,61,"Crowne Plaza Seattle 1113 6th Ave, Seattle, Washington 98101_0","Crowne Plaza Seattle Downtown 1113 6th Ave, Seattle, WA 98101_0",0.462001401
12,62,"Crowne Plaza Seattle 1113 6th Ave, Seattle, Washington 98101_0","Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0",0.183082742
12,63,"Crowne Plaza Seattle 1113 6th Ave, Seattle, Washington 98101_0","Inn at the WAC 1325 6th Ave, Seattle, WA 98101_0",0.107736749
12,64,"Crowne Plaza Seattle 1113 6th Ave, Seattle, Washington 98101_0","Hyatt Place Seattle 110 6th Ave N, Seattle, WA 98109_0",0.105821436
13,65,"Gand Hyatt Seattle 721 Pine St, Seattle, WA 98101_0","Gand Hyatt Seattle 721 Pine St, Seattle, WA 98101_0",1
13,66,"Gand Hyatt Seattle 721 Pine St, Seattle, WA 98101_0","Palihotel Seattle 107 Pine St, Seattle, WA 98101_0",0.285484393
13,67,"Gand Hyatt Seattle 721 Pine St, Seattle, WA 98101_0","Inn at the Market 86 Pine St, Seattle, WA 98101_0",0.240826138
13,68,"Gand Hyatt Seattle 721 Pine St, Seattle, WA 98101_0","Hyatt Regency Seattle 808 Howell St, Seattle, WA 98101_0",0.131533351
13,69,"Gand Hyatt Seattle 721 Pine St, Seattle, WA 98101_0","Hotel Seattle 316 Seneca St, Seattle, WA 98101_0",0.119964539
14,70,"Kimpton Alexis Hotel 1007 1st Ave, Seattle, WA 98104_0","Kimpton Alexis Hotel 1007 1st Ave, Seattle, WA 98104_0",1
14,71,"Kimpton Alexis Hotel 1007 1st Ave, Seattle, WA 98104_0","Loews Hotel 1000, Seattle 1000 1st Ave, Seattle, WA 98104_0",0.211606233
14,72,"Kimpton Alexis Hotel 1007 1st Ave, Seattle, WA 98104_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",0.148948907
14,73,"Kimpton Alexis Hotel 1007 1st Ave, Seattle, WA 98104_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",0.148948907
14,74,"Kimpton Alexis Hotel 1007 1st Ave, Seattle, WA 98104_0","Inn at Queen Anne 505 1st Ave N, Seattle, WA 98109_0",0.11767446
15,75,"Hotel Max 620 Stewart St, Seattle, WA 98101_0","Hotel Max 620 Stewart St, Seattle, WA 98101_0",1
15,76,"Hotel Max 620 Stewart St, Seattle, WA 98101_0","Thompson Seattle 110 Stewart St, Seattle, WA 98101_0",0.305328467
15,77,"Hotel Max 620 Stewart St, Seattle, WA 98101_0","Pike's Place Lux Suites by Barsala 2nd Ave and Stewart St, Seattle, WA 98101_A",0.150801712
15,78,"Hotel Max 620 Stewart St, Seattle, WA 98101_0","Pike's Place Lux Suites by Barsala 2rd Ave and Stewart St, Seattle, WA 98101_a",0.14894489
15,79,"Hotel Max 620 Stewart St, Seattle, WA 98101_0","Hotel Seattle 316 Seneca St, Seattle, WA 98101_0",0.140806814
16,80,"Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",1
16,81,"Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",1
16,82,"Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0","The Inn at El Gaucho 2505 1st Ave, Seattle, WA 98121_0",0.192123062
16,83,"Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0","Kimpton Alexis Hotel 1007 1st Ave, Seattle, WA 98104_0",0.148948907
16,84,"Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0","Silver Cloud Hotel - Seattle Stadium 1046 1st Ave S, Seattle, WA 98134_0",0.146335652
17,85,"Seattle Marriott Waterfront 2100 Alaskan Way, Seattle, WA 98121_0","Seattle Marriott Waterfront 2100 Alaskan Way, Seattle, WA 98121_0",1
17,86,"Seattle Marriott Waterfront 2100 Alaskan Way, Seattle, WA 98121_0","The Edgewater Hotel Seattle 2411 Alaskan Way, Seattle, WA 98121_0",0.316142241
