uniqueid,suffix,name,address,city,state,partner
1535,A,Mechanicsville Scattered Site Project,644 Garibaldi Street SW,Atlanta,GA,SUMMECH Community Dev. Corp.
1536,A,Modular Housing Project,,Atlanta,GA,Historic District Development Corporation
1537,A,Moreland Square Aptmts,,Atlanta,GA,Progressive Redevelopment Inc
1538,A,"New Community at East Lake, Phase 1",105 Lakeside Village Dr SE,Atlanta,GA,East Lake Housing Corporation
1539,A,NSP,157 Little Street,Atlanta,GA,Real Estate Alliance Partners
1540,A,NSP,974 Violet Street,Atlanta,GA,Real Estate Alliance Partners
1541,A,NSP-COA/LandBankAuth.,215HarperStreet,Atlanta,GA,REALTEAM/SUMMECH
1542,A,NSP-COA/LandBankAuth.,316 Jordan Street,Atlanta,GA,REALTEAM/SUMMECH
1543,A,NSP-COA/LandBankAuth.,856 Washington Street,Atlanta,GA,REALTEAM/SUMMECH
1544,A,NSP-COA/LandbankAuth.,954WashingtonStreet,Atlanta,GA,REALTEAM/SUMMECH
1545,A,O'Hern House,16 William Holmes Borders Sr Drive SE,Atlanta,GA,"Project Interconnections, Inc."
1546,A,Phoenix House,1296 Murphy Avenue SW,Atlanta,GA,Tapestry Development Group
1547,A,Phoenix House,1296 Murphy Avenue SW,Atlanta,GA,
1548,A,Phoenix House,"1296 Murphy Avenue, SW",Atlanta,GA,Tapestry Development Group
1549,A,Predevelopment LOC,,Atlanta,GA,Progressive Redevelopment Inc
1550,A,Presley Woods,265 Kirkwood Road,Atlanta,GA,Tapestry Development Group
1551,A,Progressive Pines Apts,,Atlanta,GA,Cornerstone Housing Corp
1552,A,PUSH Pittsburgh Project,590 Hope Street,Atlanta,GA,Summech Community Development Corporation
1553,A,PUSH Pittsburgh Project,767 Welch Street,Atlanta,GA,Summech Community Development Corporation
1554,A,PUSH Pittsburgh Project,790 Humphies Street,Atlanta,GA,Summech Community Development Corporation
1555,A,PUSH Pittsburgh Project,806 Humphies Street,Atlanta,GA,Summech Community Development Corporation
1556,A,Quest 2017 Predev Loan,283 Joseph E. Lowery Blvd,Atlanta,GA,"Quest Community Development Organization, Inc."
1557,A,Quest Commons West,"891 Rock St, NW",Atlanta,GA,"Quest Community Development Organization, Inc."
1558,A,Quest Community - Acquisition Loan,299 Joseph E Lowery Blvd,Atlanta,GA,"Quest Community Organization, LLC"
1559,A,Quest Complex 1,261 Joseph E Lowery Blvd,Atlanta,GA,Quest
1560,A,Quest Dalvigney,674 & 700 Dalvigney St.,Atlanta,GA,Quest CDO
1561,A,Quest Enclave,630 Cameron Alexander,Atlanta,GA,"Quest 35, Inc."
1562,A,Quest Nonprofit Center,299 Joseph E. Lowery Blvd.,Atlanta,GA,Quest CDO
1563,A,Quest Village III,"876 Rock Street, NW",Atlanta,Ga,"Quest 35, Inc"
1564,A,Rawson Street Dev.,416 Rawson Street,Atlanta,GA,SUMMECH Community Dev. Corp.
1565,A,Renaissance @ Park Place South,240 Amal SE,Atlanta,GA,Mercy Housing SE
1566,A,REYNOLDS TOWN COMMONS,1124 WYLIE ST SE,ATLANTA,GA,Reynoldstown Revitalization Corporation
1567,A,Reynoldstown East Gate,40-66 Moreland Ave,Atlanta,GA,Reynoldstown Revitalization Corp
1568,A,Reynoldstown Eastgate,40-66 Moreland Ave,Atlanta,GA,Reynoldstown Revitalization Corp
1569,A,Reynoldstown Eastgate,40-66 Moreland Avenue,Atlanta,GA,Reynoldstown Revitalization Corp
1570,A,Reynoldstown Eastgate,40-66 Moreland Avenue,Atlanta,GA,Reynoldstown Revitalization Corp
1571,A,Reynoldstown Eastgate,40-66 Moreland Avenue,Atlanta,GA,Reynoldstown Revitalization Corp
1572,A,Reynoldstown Senior Apts,810 Marcus Street SE,Atlanta,GA,Mercy Housing Southeast
1573,A,Rosa Burney Apartments,,Atlanta,GA,Rosa Burney Manor Limited Partnership
1574,A,Rosa Burney Apartments,"582, 588, 641, 642, 647, 685 Cooper St",Atlanta,GA,SUMMECH Community Dev. Corp.
1575,A,Scarborough Place,Scarborough Road,Atlanta,GA,Georgia Community Development Corporation
1576,A,Single Family Infill 2006-2007,1001 Manigault,Atlanta,GA,Reynoldstown Revitalization Corp
1577,A,South Ave Duplex,207 South Avenue,Atlanta,GA,Real Estate Alliance Partners
1578,A,Southpoint Commons,Peoplestown,Atlanta,GA,Peoplestown Revitalization Corp.
1579,A,Southpointe Commons,,Atlanta,GA,Peoplestown Revitalization Corp.
1580,A,Southpointe Commons,,Atlanta,GA,Peoplestown Revitalization Corp.
1581,A,Square at Peoplestown,"875 Hank Aaron Drive, SW",Atlanta,GA,
1582,A,Stanton Crest,1988 Stanton Road,Atlanta,GA,Atlanta Neighborhood Development Partnership
1583,A,Sweet Auburn Village,170 Edgewood Avenue NE,Atlanta,GA,Sweet Auburn Village
1584,A,The Square at Peoplestown,875 Hank Aaron Dr,Atlanta,GA,"Integral - Smith PRC, LLC"
1585,A,Trinity Pines,2420 Rose Mill Court,Atlanta,GA,Resources for Residents and Communities
1586,A,Tucker Homes,1091 Tucker Avenue SW,Atlanta,GA,"Community Alliance of Meteropolitan Parkway, Inc"
1587,A,Tucker Homes,1091 Tucker Avenue SW,Atlanta,GA,"Community Alliance of Meteropolitan Parkway, Inc"
