name,address
Chagrin Riverwalk Residences East,38601 Mentor Avenue
Champion Club Apartments Supplemental,6751 Parkland Place
Charing Cross Apartments,301 Cromwell Drive
Chariot Run Condominiums,5601 Chariot Run Drive
Charlestown Crossing Apartments,5000 Charlestown Crossing Way
Chasewood Gates,6100 Chasewood Parkway
Chautauqua Park West,100 Liberty Hill Drive
Chesapeake Apartments,2307 Cumberland Circle
Cheshire Commons,6430 W Sugar Creek Road
Cheshire Place,3716 W WT Harris Boulevard
Chrin Commerce Center (Lot 29),2505 Hollo Road
Chuy's Southport,4670 Southport Crossings Drive
City Pointe Apartments & Townhomes,401 Jeanette Benton Drive
City View Apartments,95 Kentucky Drive
Cleveland State University- Union Bldg,1836 Euclid
Clifton Properties,12203 Clifton Blvd
Clinton West,3007 Clinton Avenue
Clydesdyale Parkway consulting fee,4330 Clydesdale Parkway
CMHDC Acquisition Line of Credit,225 W. Wacker Drive
College Glen,4870 55th Lane SE
College Glen,4870 55th Lane SE
Colony Club Apartments and Townhomes,681 Turney Road
Colony Place,7809-7845 Colony Road
Columbia Heights Apts,3806-3816 NE Stinson Blvd
Columbia Ventures - Predev LOC 2017,678 Edgewood Ave; 4800 Race Street
Columbia Ventures - Predev LOC 2017,678 Edgewood Ave; 4800 Race Street
Columbia Ventures - Predevelopment LOC,4800 Race Street
Columbus Commons,155 West Mills Street
Columbus Plaza,250 West Mills Street
Columbus Portfolio Hibernia Mallard Landing Timbercreek,"5680 Hibernia Dr,
2514 Mallards Landing
3264 Green Meadows St"
Connect SLO Apartments,950 Orcutt Road
Conner Shoppes,3065 North Bend Road
Connery Place-Supplemental,8130 SE Mill Street
Continental Plaza,"401, 411, 433 Hackensack Ave"
Copley Park Supplemental,7505 Worthington Galena Road
Cornaga Commons,19-38 Cornaga Avenue
Coronado Springs Cottages,1400 SW 107th Street
Cottages at Indian Creek,"444 Jeff Rd, Northwest"
Country Club Estates Supplemental - DMG,4011 Bramblewood Drive
Country Village MHC - Assumption,913 Cottonwood Cir
Country Village Mobile Home Community,913 Cottonwood Circle
Countrywood Apartment Homes,17700 SW Shaw Street
Court Fairview MHC,833 High View Dr
Cozy Manufactured Home Community (DRS),1249 East McDevitt Avenue
CPAH Cedar Grove LP,812 NW Murray Blvd
Crane Factory Flats,824 Broadway Street
Creekside at Osgood II,4707 46th Street South
Creekview Estates,400 N. Walnut Street
Crescent Hill Apartments (AHF),108 Pineneedle Dr
Croatan Forest Apartments,25 Mustang Court
Croddy Way Industrial,2610 - 2612 Croddy Way
Crosslake Expo Center,131 Crosslake Park Dr.
Crystal Court Apartments - Loan,6001 Bass Lake Rd
Crystal Creek Park Apartments,8101 Honeywood Trail
Dave Indy Refinances - Apache MHC,2400 Arroyo Drive
Deauville Apartments,8260 E. Ten Mile Road
Decatur Downs,409 E. Edgar Bergan Blvd.
Deer Park & Apple Run Apartments,301 NW Williams Ave & 2403 NW 23rd St Building
Deer Springs Village,6680-6770 N. Hualapai Way
Deercross Apartments,9210 Deercross Parkway
Del Monte Manor,1466 Yosemite St
Delmoor Apartments,3414 Telford Drive
Denver Metro Village,1523 Quitman Street
Derby Run Apartments,6 Derby Drive
Diane's House,2619 Bladensburg Road NE
District at Tuttle Refi,4020 Cyber Avenue
DMG - Carlisle Crossing,950 Dubois Road
Doubletree Irvine Spectrum (Blend & Extend),90 Pacifica
Dr. Alice Moore Apts.,335 27th Street
Dr. Alice Moore Apts.,335 27th Street
Dr. Pepper Snapple (Refi),8400 Darrow Rd
Duckwood Square - 2019,1340 Duckwood Drive
Dunmanway Apartments,2900 Dunran Road
Eagle Heights Village Phase 1,2600 East Eagle Mountain Boulevard
Eagle Heights Village Phase 1,2600 East Eagle Mountain Boulevard
Eagle Heights Village Phase 2,2602 East Eagle Mountain Boulevard
Eagle Heights Village Phase 3,2604 East Eagle Mountain Boulevard
Eagle Heights Village Phase 4,2606 East Eagle Mountain Boulevard
Eagle Market Place,21 Eagle Street
East Village Homes,302 E. 2nd Street
Eastern Park Apartments,711 Eddy Street
Eastgate Business Center,1801-1831 Deffenbaugh Court
Eastwind Drive Industrial,975 Eastwind Drive
Edge on 4th Apartments - 2nd,535 S. 4th Street
Edinburgh Plaza,1400-1460 85th Ave. North
Edroy Court Apartments,2702-2746 Edroy Court
El Paseo Plaza,312-320 E Wyatt Drive
El Paseo Plaza and Marketplace,73-547 to 73-613 Highway 111 & 73-540 to 73-580 El Paseo
Emerald Alliance XI,3873-3881 West 25th Street
Encore on Northern,2233 W. Northern Avenue
Energy Tech Center,1450 Energy Park Dr
Ennis MHP (Reynolds Crossed Portfolio),2700 N Interstate 45
Equity Plus/Avi Fechter,400 East Church St
Eritrean Community and Civic Center,2154 24th Place NE
