name,address
Upland Development,1690-1704 W. 11th St.
Uptown Gateway - Land Development,Martin Luther King Dr
Uptown Housing (aka 2nd & Mercer),607 2nd Ave N
VA Beach Kempsville WaWa,1924 Kempsville Rd & 1909 Centerville Tpk
Valdosta Commons,415 N. Irwin Avenue
Valerie Hills (Rogue River Port),701-785 N River Road
Valley Estates MHC (Fund I),16751 Turner Road
Vansant Commons,2626 Shyville Road
Ventana Apartments,5095 E Donald Avenue
Ventura Place Office Building - Refinance,12001 Ventura Place
Veranda Townhomes,9100 Coit Rd
VIDA Lofts at City Center,201 W. Avenue
Village at Mason Creek,3066 M-37
Village Commons PH II,6350 Weddingnton-Monroe Rd
Village Cross Creek (2019 Refi),7536 Hillcrest Dr
Village Green of Troy East,2330 John R Road
Village on South Carpenter (2019),1474 South Carpenter Road
Village Square Apartments,6212 Cheviot Road
Villas at Friendly Heights,1300 Friendly Heights Blvd
Villas at Lake Acworth,4694 Old Cowan Rd
Villas Del Zocalo 1,3130 Webb Chapel Ext
Vinings at Christiana,200 Vinings Way
Vintage Sterling,1990 S. Vintage Avenue
Vista Creek Apartments,22432 Center Street
Vital Records,2020 Northwest Progress Parkway
Vons - Long Beach,600 E. Broadway
W 150th Street Cluster,601 W 148th Street
WAG-Pinehurst,250 Ivy Lane
Walden Street Apartments,3500 Walden Street
Walgreens,2605 Raeford Road
Walgreens North Charleston Additional Funding,7501 Rivers Avenue
Walgreens TN,7790 Wolf River Blvd
Walnut Creek Apartments,6409 Springdale Road
Walton Reserve,7075 Walton Reserve Lane
Walton Reserves Rehab,1500 Walton Reserve Blvd
Warren Apartments,1533 West Warren Boulevard
Washington Square Village,825 32nd Avenue
Waterford Townhomes,1130 Town Centre Dr
"Watson - Pool 1 (Bldg 141, 146, 727 & 841)",23011 S. Wilmington Avenue
"Watson - Pool 1 (Bldg 141, 146, 727 & 841)",23011 S. Wilmington Avenue
"Watson - Pool 1 (Bldg 141, 146, 727 & 841)",15245 Van Vliet Avenue
"Watson - Pool 1 (Bldg 141, 146, 727 & 841)",18780 Central Avenue
Wayside Pines,26 Wayside Ave
Webster Avenue,"3099 Webster Avenue
3101 Webster Avenue
3095 Webster Avenue"
Wesley Tower Apartments,1500 Marion Ave
West Creek Village Center,Copper Hill Drive and Rio Norte Drive
West LA Creative Office Portfolio,2236 S. Barrington Ave; 2240-2247 Barry Ave
West LA Creative Office Portfolio,2251 & 2252 Barry Avenue
West LA Creative Office Portfolio,9300 Jefferson Ave
West LA Creative Office Portfolio,3760 Motor Avenue
West Main Villas (Perm),9800 Mesa Linda Street
West Pointe Townhomes,4402 Clevesdale Drive
West Ridge Park MHC(Reynolds Crossed Portfolio),9301 Volcano Rd NW
West Village Art Lofts,110 N F Street
Westhaven Estates,3762 W Old Road 30
Westlake Christian Terrace West,275 28th Street
Weston Kentucky Industrial Portflio - Refi 2019,1800 Production Court
Weston Kentucky Industrial Portflio - Refi 2019,3600 Chamberlain Lane
Weston Kentucky Industrial Portflio - Refi 2019,12710 Westport Road
Westwood Mobile Home Park - Supplemental,7055 Quarry Road
WGL Mattawa II,24065 SW Road T-3
Whispering Hills Apartments,6905 Connecticut Drive
Whitehall Corporate Center 3 & 5,3545 and 3600 Arco Corporate Drive
Willoughby Commons,36363 Euclid Ave
Willow View Townhomes,102 Baylor Street
Willow Woods Apartment Homes - Supplemental,3019 Ingleside Dr.
Willowbrook Apartment Homes,12202 E Maxwell Ave
Willows at Harbor House,320 Radio Road
Windhurst Park Apartments,584 Old Brunerstown Road
Windridge Townhomes Supplemental,6700 Hopeful Road
Winfield Apartments - LIHTC,6134 Romley Point
Winsor Ranch Shopping Center,3415-3445 W Glendale Ave and 6767 N. 35th Ave.
Woodmere Apartments Supplemental,9333 Round Top Road
Woods of Hoover - Assumption,3801 Galleria Woods Drive
WoodSpring Suites - Nashville Rivergate,122 Liberty Ln
Woodville Village (Rogue River Port),199 Rogue Lane
Woodward Place,15101-15151 Woodward Avenue
Workout Anytime,2045 South Horner Blvd
"Worthington Park, Airway Centre, Gaines Marketplace",1425 Worthington Centre Dr
"Worthington Park, Airway Centre, Gaines Marketplace",189 SE Marketplace Dr
"Worthington Park, Airway Centre, Gaines Marketplace",104-194 Woodman Drive
Wyndamere Apartments - Perm,101 Collins Path
Wynn Gate Apartments,81A Wynn Gate Court
Xenia Industrial (IRG),1003 Bellbrook Avenue
"Yangfeng - Holland, MI and Bryan, OH","Holland- 1776 Airport Park Court, Holland, MI 49423
Bryan- 918 South Union Street"
Yardz on Colter,1545 W Colter St
York Family Residences,300 North State Street
Zappo's Industrial - Old LaGrange Road,12415 Old LaGrange Road
Zebulon Commons,877 East Gannon Avenue
No project name,204 N Guthrie
No project name,310 Benjamine
